Anchor_0,Anchor_1,Anchor_2,Anchor_3,Anchor_4
28.8546,6.28027,6.43618,2.60255,0.429952
28.8016,6.17621,6.43013,2.37807,0.240154
28.7983,6.18961,6.34611,2.86055,0.323024
28.7431,6.20522,6.30008,2.62321,0.372909
28.8307,6.26398,6.3668,3.03253,1.01383
28.8366,5.95379,6.38818,2.82914,0.847657
28.841,5.9443,6.2754,2.72191,0.7025
28.8264,6.21747,6.46337,2.43754,0.155687
28.8879,6.18039,6.25453,2.61377,0.387062
29.0536,6.20086,6.46437,2.7729,1.22988
28.8266,6.01699,6.46965,2.6358,0.288615
29.1225,6.14487,6.29723,2.80191,0.993342
28.663,5.99331,6.30113,2.51906,1.05812
28.7254,6.01966,6.49612,2.63866,0.922499
28.8253,5.93328,6.43313,2.65292,0.545476
28.8793,6.12005,6.36253,2.76899,0.504461
28.8224,6.01429,6.35012,2.38455,0.130771
28.7664,5.98101,6.30864,2.87105,0.308543
28.7678,6.14941,6.30955,2.73797,1.09281
28.9938,6.18885,6.35525,2.0516,0.0390301
28.7499,6.27115,6.55716,3.02723,0.803385
28.7857,5.92729,6.23879,2.61235,0.86312
28.8496,6.18352,6.31043,2.93181,0.533293
28.8247,6.21476,6.12289,2.0088,0.828799
28.8505,6.20602,6.14115,2.81303,0.315665
28.7772,6.19927,6.18691,2.67898,1.28947
28.7041,6.15745,6.34192,2.87136,1.15764
28.8643,6.17183,6.22478,2.6071,1.13741
28.8369,6.1557,6.49016,2.33853,0.441485
28.8548,6.16666,6.26735,2.72426,0.358481
28.9239,6.2359,6.01458,3.01807,0.15833
28.9002,6.42755,6.174,2.674,1.14243
28.9235,6.13546,6.35134,2.76004,0.797917
28.9132,6.44325,6.51216,3.19678,0.242082
28.878,6.12314,6.29597,2.82523,1.09109
28.9064,6.14765,6.5451,2.70297,0.0557007
28.904,5.92753,6.54885,3.32754,0.545024
28.9772,6.24631,6.30495,2.25824,0.741222
28.9362,6.20882,6.29587,2.6286,0.688809
28.9205,6.25873,6.52365,2.57295,1.19964
28.8758,6.16676,6.73123,3.07024,0.638684
28.9939,6.22221,6.12949,1.96724,0.736472
28.9839,6.44872,6.16858,2.18721,0.728871
29.0048,6.45335,6.1583,2.92406,1.08221
28.9948,6.45171,6.39845,2.24486,0.752605
29.0406,6.21222,6.33571,2.74899,1.1573
29.0513,6.21269,6.12042,3.01553,1.16266
29.0982,6.29787,6.26897,2.37668,0.691084
29.0755,6.12364,6.11659,2.89549,0.707948
29.0926,6.16128,6.25329,2.31294,0.214557
29.1502,6.1226,6.17628,2.29748,0.288805
29.0547,6.38271,6.47138,2.39439,0.869003
29.1394,6.20362,6.30381,2.58194,0.346132
29.134,6.16644,6.19687,2.78938,0.925627
29.0867,6.12026,6.08992,2.25826,0.318154
29.0871,6.61019,6.23395,2.38207,0.497978
29.1525,6.08176,6.24378,3.0656,0.516365
29.1522,6.58563,6.23497,2.87796,0.78337
29.2083,6.10049,6.19687,2.81557,0.817531
29.2699,6.5514,6.21106,2.47971,0.795001
29.2937,6.1926,6.17467,2.59155,0.208887
29.2604,6.58231,6.18562,2.48072,0.0975037
29.2397,6.64846,6.17736,2.51611,0.25944
29.2512,6.34531,6.22984,2.14362,0.908243
29.2354,6.45595,6.26968,2.77564,0.45416
